rid,id,text,term,from,to,category,polarity
1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",place,51,56,RESTAURANT#GENERAL,negative
1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,75,80,SERVICE#GENERAL,negative
1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,0,0,SERVICE#GENERAL,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,food,4,8,FOOD#QUALITY,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,portions,52,60,FOOD#STYLE_OPTIONS,negative
1004293,1004293:4,"After all that, they complained to me about the small tip.",NULL,0,0,SERVICE#GENERAL,negative
1004293,1004293:5,Avoid this place!,place,11,16,RESTAURANT#GENERAL,negative
1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,38,42,FOOD#QUALITY,positive
1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,0,4,RESTAURANT#GENERAL,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,42,69,FOOD#QUALITY,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,4,15,FOOD#QUALITY,positive
1014458,1014458:3,The wine list is interesting and has many good values.,wine list,4,13,DRINKS#STYLE_OPTIONS,positive
1014458,1014458:3,The wine list is interesting and has many good values.,wine list,4,13,DRINKS#PRICES,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",NULL,0,0,RESTAURANT#PRICES,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",NULL,0,0,FOOD#QUALITY,positive
1016296,1016296:0,I was very disappointed with this restaurant.,restaurant,34,44,RESTAURANT#GENERAL,negative
1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,12,26,SERVICE#GENERAL,negative
1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,NULL,0,0,SERVICE#GENERAL,negative
1016296,1016296:3,"Food was okay, nothing great.",Food,0,4,FOOD#QUALITY,neutral
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,0,8,FOOD#QUALITY,negative
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,18,30,FOOD#QUALITY,negative
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,NULL,0,0,RESTAURANT#MISCELLANEOUS,negative
1016296,1016296:5,I/we will never go back to this place again.,place,32,37,RESTAURANT#GENERAL,negative
1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,35,39,RESTAURANT#GENERAL,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,0,7,SERVICE#GENERAL,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,20,27,FOOD#QUALITY,positive
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",NULL,0,0,RESTAURANT#PRICES,positive
1028246,1028246:2,You can't go wrong here.,NULL,0,0,RESTAURANT#GENERAL,positive
1032695,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,50,65,RESTAURANT#GENERAL,positive
1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL,0,0,FOOD#QUALITY,positive
1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,47,54,SERVICE#GENERAL,positive
1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,73,78,AMBIENCE#GENERAL,positive
1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,10,29,FOOD#QUALITY,positive
1032695,1032695:3,Can't wait wait for my next visit.,NULL,0,0,RESTAURANT#GENERAL,positive
1041457,1041457:1,And I hate to say this but I doubt I'll ever go back. ,NULL,0,0,RESTAURANT#GENERAL,negative
1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,4,8,FOOD#QUALITY,negative
1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,31,48,FOOD#QUALITY,negative
1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",NULL,0,0,FOOD#QUALITY,negative
1041457,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,46,88,FOOD#QUALITY,positive
1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,16,30,FOOD#QUALITY,positive
1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,16,30,FOOD#STYLE_OPTIONS,positive
1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,142,147,AMBIENCE#GENERAL,negative
1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,4,9,AMBIENCE#GENERAL,positive
1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,60,64,AMBIENCE#GENERAL,negative
1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,6,15,DRINKS#STYLE_OPTIONS,positive
1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",NULL,0,0,SERVICE#GENERAL,positive
1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,4,19,FOOD#QUALITY,positive
1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,47,66,FOOD#QUALITY,positive
1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,74,81,SERVICE#GENERAL,positive
1055910,1055910:0,we love th pink pony.,pink pony,11,20,RESTAURANT#GENERAL,positive
1055910,1055910:1,THe perfect spot.,spot,12,16,RESTAURANT#GENERAL,positive
1055910,1055910:2,Food-awesome.,Food,0,4,FOOD#QUALITY,positive
1055910,1055910:3,Service- friendly and attentive.,Service,0,7,SERVICE#GENERAL,positive
1055910,1055910:4,Ambiance- relaxed and stylish.,Ambiance,0,8,AMBIENCE#GENERAL,positive
1055910,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,17,22,RESTAURANT#GENERAL,positive
1058221,1058221:2,the food is decent.,food,4,8,FOOD#QUALITY,neutral
1058221,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,18,25,SERVICE#GENERAL,negative
1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,106,112,SERVICE#GENERAL,negative
1058221,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",NULL,0,0,SERVICE#GENERAL,negative
1058221,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",NULL,0,0,RESTAURANT#GENERAL,negative
1058221,1058221:7,the last time i walked by it looked pretty empty. hmmm.,NULL,0,0,RESTAURANT#MISCELLANEOUS,negative
1062641,1062641:0,This place has got to be the best japanese restaurant in the new york area.,place,5,10,RESTAURANT#GENERAL,positive
1062641,1062641:1,I had a great experience.,NULL,0,0,RESTAURANT#GENERAL,positive
1062641,1062641:2,Food is great.,Food,0,4,FOOD#QUALITY,positive
1062641,1062641:3,Service is top notch.,Service,0,7,SERVICE#GENERAL,positive
1062641,1062641:4,I have been going back again and again.,NULL,0,0,RESTAURANT#GENERAL,positive
1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,42,52,FOOD#QUALITY,positive
1064477,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",NULL,0,0,FOOD#QUALITY,positive
1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,4,9,FOOD#QUALITY,positive
1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,4,9,FOOD#STYLE_OPTIONS,positive
